     file  region                                  year im_ratio ed_ratio
 869 de93h [16]DEG - Thuringia                     1993    1.28     0.681
 870 de93h [2]DE2 - Bavaria                        1993    1.03     0.722
 871 de93h [3]DE3 - Berlin                         1993    1.27     0.733
 872 de93h [4]DE4 - Brandenburg                    1993    1.02     0.690
 873 de93h [5]DE5 - Bremen                         1993    0.977    0.496
 874 de93h [6]DE6 - Hamburg                        1993    1.39     0.804
 875 de93h [7]DE7 - Hesse                          1993    1.21     0.619
 876 de93h [8]DE8 - Mecklenburg-Western Pomerania  1993    0.975    0.650
 877 de93h [9]DE9 - Lower Saxony                   1993    1.03     0.570
 878 de94h [1]DE1 - Baden-Wuerttemberg             1994    1.19     0.651
 879 de94h [10]DEA - North Rhine-Westphalia        1994    1.24     0.617
 880 de94h [11]DEB - Rhineland-Palatinate          1994    1.33     0.627
 881 de94h [12]DEC - Saarland                      1994    1.30     0.550
 882 de94h [13]DED - Saxony                        1994    1.09     0.644
 883 de94h [14]DEE - Saxony-Anhalt                 1994    1.11     0.674
 884 de94h [15]DEF - Schleswig-Holstein            1994    1.26     0.711
 885 de94h [16]DEG - Thuringia                     1994    1.21     0.747
 886 de94h [2]DE2 - Bavaria                        1994    1.09     0.656
 887 de94h [3]DE3 - Berlin                         1994    1.34     0.763
 888 de94h [4]DE4 - Brandenburg                    1994    1.02     0.727
 889 de94h [5]DE5 - Bremen                         1994    1.15     0.655
 890 de94h [6]DE6 - Hamburg                        1994    1.36     0.837
 891 de94h [7]DE7 - Hesse                          1994    1.38     0.611
 892 de94h [8]DE8 - Mecklenburg-Western Pomerania  1994    1.01     0.652
 893 de94h [9]DE9 - Lower Saxony                   1994    1.25     0.608
 894 de95h [1]DE1 - Baden-Wuerttemberg             1995    1.16     0.680
 895 de95h [10]DEA - North Rhine-Westphalia        1995    1.23     0.648
 896 de95h [11]DEB - Rhineland-Palatinate          1995    1.33     0.641
 897 de95h [12]DEC - Saarland                      1995    1.23     0.651
 898 de95h [13]DED - Saxony                        1995    1.09     0.675
 899 de95h [14]DEE - Saxony-Anhalt                 1995    1.02     0.681
 900 de95h [15]DEF - Schleswig-Holstein            1995    1.16     0.660
 901 de95h [16]DEG - Thuringia                     1995    1.18     0.757
 902 de95h [2]DE2 - Bavaria                        1995    1.08     0.658
 903 de95h [3]DE3 - Berlin                         1995    1.37     0.733
 904 de95h [4]DE4 - Brandenburg                    1995    1.16     0.747
 905 de95h [5]DE5 - Bremen                         1995    0.963    0.514
 906 de95h [6]DE6 - Hamburg                        1995    1.38     0.760
 907 de95h [7]DE7 - Hesse                          1995    1.34     0.602
 908 de95h [8]DE8 - Mecklenburg-Western Pomerania  1995    1.03     0.685
 909 de95h [9]DE9 - Lower Saxony                   1995    1.19     0.656
 910 de95h <NA>                                    1995   NA       NA    
 911 de96h [1]DE1 - Baden-Wuerttemberg             1996    1.16     0.668
 912 de96h [10]DEA - North Rhine-Westphalia        1996    1.24     0.638
 913 de96h [11]DEB - Rhineland-Palatinate          1996    1.21     0.651
 914 de96h [12]DEC - Saarland                      1996    1.09     0.560
 915 de96h [13]DED - Saxony                        1996    1.11     0.674
 916 de96h [14]DEE - Saxony-Anhalt                 1996    1.11     0.724
 917 de96h [15]DEF - Schleswig-Holstein            1996    1.11     0.749
 918 de96h [16]DEG - Thuringia                     1996    1.19     0.703
 919 de96h [2]DE2 - Bavaria                        1996    1.04     0.708
 920 de96h [3]DE3 - Berlin                         1996    1.51     0.798
 921 de96h [4]DE4 - Brandenburg                    1996    1.12     0.805
 922 de96h [5]DE5 - Bremen                         1996    0.968    0.479
 923 de96h [6]DE6 - Hamburg                        1996    1.09     0.636
 924 de96h [7]DE7 - Hesse                          1996    1.38     0.515
 925 de96h [8]DE8 - Mecklenburg-Western Pomerania  1996    1.12     0.587
 926 de96h [9]DE9 - Lower Saxony                   1996    1.17     0.596
 927 de96h <NA>                                    1996   NA       NA    
 928 de97h [1]DE1 - Baden-Wuerttemberg             1997    1.16     0.680
 929 de97h [10]DEA - North Rhine-Westphalia        1997    1.25     0.617
 930 de97h [11]DEB - Rhineland-Palatinate          1997    1.15     0.748
 931 de97h [12]DEC - Saarland                      1997    1.30     0.631
 932 de97h [13]DED - Saxony                        1997    1.07     0.736
 933 de97h [14]DEE - Saxony-Anhalt                 1997    0.991    0.762
 934 de97h [15]DEF - Schleswig-Holstein            1997    1.13     0.629
 935 de97h [16]DEG - Thuringia                     1997    1.26     0.757
 936 de97h [2]DE2 - Bavaria                        1997    1.08     0.686
 937 de97h [3]DE3 - Berlin                         1997    1.44     0.770
 938 de97h [4]DE4 - Brandenburg                    1997    1.06     0.746
 939 de97h [5]DE5 - Bremen                         1997    1.04     0.451
 940 de97h [6]DE6 - Hamburg                        1997    1.25     0.660
 941 de97h [7]DE7 - Hesse                          1997    1.40     0.538
 942 de97h [8]DE8 - Mecklenburg-Western Pomerania  1997    1.12     0.664
 943 de97h [9]DE9 - Lower Saxony                   1997    1.15     0.619
 944 de98h [1]DE1 - Baden-Wuerttemberg             1998    1.14     0.688
 945 de98h [10]DEA - North Rhine-Westphalia        1998    1.25     0.613
 946 de98h [11]DEB - Rhineland-Palatinate          1998    1.10     0.697
 947 de98h [12]DEC - Saarland                      1998    1.21     0.710
 948 de98h [13]DED - Saxony                        1998    0.906    0.733
 949 de98h [14]DEE - Saxony-Anhalt                 1998    1.05     0.754
 950 de98h [15]DEF - Schleswig-Holstein            1998    1.09     0.521
 951 de98h [16]DEG - Thuringia                     1998    1.25     0.736
 952 de98h [2]DE2 - Bavaria                        1998    1.10     0.710
 953 de98h [3]DE3 - Berlin                         1998    1.56     0.723
 954 de98h [4]DE4 - Brandenburg                    1998    1.04     0.721
 955 de98h [5]DE5 - Bremen                         1998    0.969    0.622
 956 de98h [6]DE6 - Hamburg                        1998    1.25     0.815
 957 de98h [7]DE7 - Hesse                          1998    1.35     0.560
 958 de98h [8]DE8 - Mecklenburg-Western Pomerania  1998    1.30     0.686
 959 de98h [9]DE9 - Lower Saxony                   1998    1.16     0.604
 960 de99h [1]DE1 - Baden-Wuerttemberg             1999    1.21     0.694
 961 de99h [10]DEA - North Rhine-Westphalia        1999    1.28     0.650
 962 de99h [11]DEB - Rhineland-Palatinate          1999    1.13     0.616
 963 de99h [12]DEC - Saarland                      1999    1.16     0.634
 964 de99h [13]DED - Saxony                        1999    1.19     0.678
 965 de99h [14]DEE - Saxony-Anhalt                 1999    1.27     0.758
 966 de99h [15]DEF - Schleswig-Holstein            1999    1.26     0.535
 967 de99h [16]DEG - Thuringia                     1999    1.26     0.751
 968 de99h [2]DE2 - Bavaria                        1999    1.12     0.687
 969 de99h [3]DE3 - Berlin                         1999    1.39     0.762
 970 de99h [4]DE4 - Brandenburg                    1999    1.19     0.744
 971 de99h [5]DE5 - Bremen                         1999    0.911    0.586
 972 de99h [6]DE6 - Hamburg                        1999    1.10     0.593
 973 de99h [7]DE7 - Hesse                          1999    1.25     0.530
 974 de99h [8]DE8 - Mecklenburg-Western Pomerania  1999    1.36     0.634
 975 de99h [9]DE9 - Lower Saxony                   1999    1.27     0.656
 976 es00h [1]North-East                           2000   NA       NA    
 977 es00h [2]North-West                           2000    1.38     0.720
 978 es00h [3]Madrid                               2000   NA       NA    
 979 es00h [4]Central                              2000   NA       NA    
 980 es00h [5]East                                 2000   NA       NA    
 981 es00h [6]South                                2000   NA       NA    
 982 es00h [7]Canary Islands                       2000    0.627    0.622
 983 es00h <NA>                                    2000    0.473    0.561
 984 es04h [11]Galicia                             2004   NA       NA    
 985 es04h [12]Principado de Asturias              2004    1.66     0.721
 986 es04h [13]Cantabria                           2004   NA       NA    
 987 es04h [21]País Vasco                          2004   NA       NA    
 988 es04h [22]Comunidad Foral de Navarra          2004   NA       NA    
 989 es04h [23]La Rioja                            2004    1.22     0.691
 990 es04h [24]Aragón                              2004   NA       NA    
 991 es04h [30]Comunidad de Madrid                 2004   NA       NA    
 992 es04h [41]Castilla y León                     2004   NA       NA    
 993 es04h [42]Castilla-La Mancha                  2004    1.05     0.531
 994 es04h [43]Extremadura                         2004   NA       NA    
 995 es04h [51]Cataluña                            2004   NA       NA    
 996 es04h [52]Comunidad Valenciana                2004   NA       NA    
 997 es04h [53]Illes Balears                       2004   NA       NA    
 998 es04h [61]Andalucía                           2004   NA       NA    
 999 es04h [62]Región de Murcia                    2004   NA       NA    
1000 es04h [63]Ciudad Autónoma de Ceuta            2004   NA       NA    
1001 es04h [70]Canarias                            2004   NA       NA    
1002 es05h [11]Galicia                             2005   NA       NA    
1003 es05h [12]Principado de Asturias              2005    1.36     0.735
1004 es05h [13]Cantabria                           2005   NA       NA    
1005 es05h [21]País Vasco                          2005   NA       NA    
1006 es05h [22]Comunidad Foral de Navarra          2005    1.46     0.633
1007 es05h [23]La Rioja                            2005    1.12     0.694
1008 es05h [24]Aragón                              2005    1.40     0.654
1009 es05h [30]Comunidad de Madrid                 2005   NA       NA    
1010 es05h [41]Castilla y León                     2005   NA       NA    
1011 es05h [42]Castilla-La Mancha                  2005   NA       NA    
1012 es05h [43]Extremadura                         2005   NA       NA    
1013 es05h [51]Cataluña                            2005   NA       NA    
1014 es05h [52]Comunidad Valenciana                2005    1.24     0.719
1015 es05h [53]Illes Balears                       2005   NA       NA    
1016 es05h [61]Andalucía                           2005   NA       NA    
1017 es05h [62]Región de Murcia                    2005    1.10     0.696
1018 es05h [63]Ciudad Autónoma de Ceuta            2005    1.77     0.579
1019 es05h [64]Ciudad Autónoma de Melilla          2005   NA       NA    
1020 es05h [70]Canarias                            2005   NA       NA    
1021 es06h [11]Galicia                             2006    1.11     0.726
1022 es06h [12]Principado de Asturias              2006    1.34     0.721
1023 es06h [13]Cantabria                           2006    1.04     0.671
1024 es06h [21]País Vasco                          2006   NA       NA    
1025 es06h [22]Comunidad Foral de Navarra          2006    1.35     0.661
1026 es06h [23]La Rioja                            2006   NA       NA    
1027 es06h [24]Aragón                              2006   NA       NA    
1028 es06h [30]Comunidad de Madrid                 2006    1.42     0.594
1029 es06h [41]Castilla y León                     2006    1.19     0.582
1030 es06h [42]Castilla-La Mancha                  2006    1.43     0.632
1031 es06h [43]Extremadura                         2006    1.53     0.508
1032 es06h [51]Cataluña                            2006    1.40     0.694
1033 es06h [52]Comunidad Valenciana                2006    1.16     0.670
1034 es06h [53]Illes Balears                       2006    1.28     0.690
1035 es06h [61]Andalucía                           2006   NA       NA    
1036 es06h [62]Región de Murcia                    2006    1.04     0.676
1037 es06h [63]Ciudad Autónoma de Ceuta            2006   NA       NA    
1038 es06h [64]Ciudad Autónoma de Melilla          2006    2.13     0.575
1039 es06h [70]Canarias                            2006    1.16     0.685
1040 es07h [11]Galicia                             2007    1.28     0.685
1041 es07h [12]Principado de Asturias              2007    1.43     0.683
1042 es07h [13]Cantabria                           2007    1.34     0.730
1043 es07h [21]País Vasco                          2007    1.27     0.659
1044 es07h [22]Comunidad Foral de Navarra          2007    1.66     0.634
1045 es07h [23]La Rioja                            2007    1.74     0.730
1046 es07h [24]Aragón                              2007    1.52     0.694
1047 es07h [30]Comunidad de Madrid                 2007    1.60     0.582
1048 es07h [41]Castilla y León                     2007    1.32     0.626
1049 es07h [42]Castilla-La Mancha                  2007    1.30     0.557
1050 es07h [43]Extremadura                         2007    1.89     0.525
1051 es07h [51]Cataluña                            2007    1.54     0.662
1052 es07h [52]Comunidad Valenciana                2007    1.62     0.669
1053 es07h [53]Illes Balears                       2007    1.62     0.685
1054 es07h [61]Andalucía                           2007    1.42     0.620
1055 es07h [62]Región de Murcia                    2007    1.45     0.639
1056 es07h [63]Ciudad Autónoma de Ceuta            2007    1.97     0.391
1057 es07h [64]Ciudad Autónoma de Melilla          2007    1.90     0.712
1058 es07h [70]Canarias                            2007    1.38     0.673
1059 es08h [11]Galicia                             2008    1.32     0.679
1060 es08h [12]Principado de Asturias              2008    1.22     0.638
1061 es08h [13]Cantabria                           2008    1.38     0.780
1062 es08h [21]País Vasco                          2008    1.31     0.620
1063 es08h [22]Comunidad Foral de Navarra          2008    1.55     0.624
1064 es08h [23]La Rioja                            2008    1.74     0.779
1065 es08h [24]Aragón                              2008    1.41     0.732
1066 es08h [30]Comunidad de Madrid                 2008    1.56     0.600
1067 es08h [41]Castilla y León                     2008    1.44     0.608
1068 es08h [42]Castilla-La Mancha                  2008    1.10     0.588
1069 es08h [43]Extremadura                         2008    1.01     0.539
1070 es08h [51]Cataluña                            2008    1.73     0.647
1071 es08h [52]Comunidad Valenciana                2008    1.69     0.654
1072 es08h [53]Illes Balears                       2008    1.57     0.584
1073 es08h [61]Andalucía                           2008    1.22     0.599
1074 es08h [62]Región de Murcia                    2008    1.69     0.570
1075 es08h [63]Ciudad Autónoma de Ceuta            2008    1.50     0.424
1076 es08h [64]Ciudad Autónoma de Melilla          2008    2.15     0.634
1077 es08h [70]Canarias                            2008    1.55     0.638
1078 es09h [11]Galicia                             2009    1.36     0.645
1079 es09h [12]Principado de Asturias              2009    1.17     0.664
1080 es09h [13]Cantabria                           2009    1.51     0.678
1081 es09h [21]País Vasco                          2009    1.52     0.602
1082 es09h [22]Comunidad Foral de Navarra          2009    1.59     0.596
1083 es09h [23]La Rioja                            2009    1.72     0.788
1084 es09h [24]Aragón                              2009    1.42     0.718
1085 es09h [30]Comunidad de Madrid                 2009    1.49     0.626
1086 es09h [41]Castilla y León                     2009    1.28     0.648
1087 es09h [42]Castilla-La Mancha                  2009    1.33     0.525
1088 es09h [43]Extremadura                         2009    2.13     0.523
1089 es09h [51]Cataluña                            2009    1.66     0.632
1090 es09h [52]Comunidad Valenciana                2009    1.66     0.602
1091 es09h [53]Illes Balears                       2009    1.62     0.634
1092 es09h [61]Andalucía                           2009    1.23     0.581
1093 es09h [62]Región de Murcia                    2009    1.65     0.646
1094 es09h [63]Ciudad Autónoma de Ceuta            2009    1.41     0.495
1095 es09h [64]Ciudad Autónoma de Melilla          2009    1.77     0.683
1096 es09h [70]Canarias                            2009    1.50     0.618
1097 es10h [11]Galicia                             2010    1.30     0.670
1098 es10h [12]Principado de Asturias              2010    1.49     0.624
1099 es10h [13]Cantabria                           2010    1.58     0.686
1100 es10h [21]País Vasco                          2010    1.61     0.609
1101 es10h [22]Comunidad Foral de Navarra          2010    1.48     0.585
1102 es10h [23]La Rioja                            2010    1.56     0.747
1103 es10h [24]Aragón                              2010    1.56     0.602
1104 es10h [30]Comunidad de Madrid                 2010    1.36     0.552
1105 es10h [41]Castilla y León                     2010    1.42     0.640
1106 es10h [42]Castilla-La Mancha                  2010    1.22     0.525
1107 es10h [43]Extremadura                         2010    2.24     0.587
1108 es10h [51]Cataluña                            2010    1.67     0.623
1109 es10h [52]Comunidad Valenciana                2010    1.57     0.629
1110 es10h [53]Illes Balears                       2010    1.34     0.590
1111 es10h [61]Andalucía                           2010    1.71     0.573
1112 es10h [62]Región de Murcia                    2010    1.50     0.616
1113 es10h [63]Ciudad Autónoma de Ceuta            2010    1.86     0.526
1114 es10h [64]Ciudad Autónoma de Melilla          2010    1.93     0.720
1115 es10h [70]Canarias                            2010    1.40     0.687
1116 es11h [11]Galicia                             2011    1.69     0.665
1117 es11h [12]Principado de Asturias              2011    1.67     0.588
1118 es11h [13]Cantabria                           2011    1.28     0.669
1119 es11h [21]País Vasco                          2011    1.83     0.573
1120 es11h [22]Comunidad Foral de Navarra          2011    1.69     0.672
1121 es11h [23]La Rioja                            2011    1.71     0.719
1122 es11h [24]Aragón                              2011    1.95     0.636
1123 es11h [30]Comunidad de Madrid                 2011    1.29     0.592
1124 es11h [41]Castilla y León                     2011    1.50     0.657
1125 es11h [42]Castilla-La Mancha                  2011    1.51     0.557
1126 es11h [43]Extremadura                         2011    1.93     0.580
1127 es11h [51]Cataluña                            2011    1.82     0.640
1128 es11h [52]Comunidad Valenciana                2011    1.66     0.627
1129 es11h [53]Illes Balears                       2011    1.39     0.617
1130 es11h [61]Andalucía                           2011    1.48     0.563
1131 es11h [62]Región de Murcia                    2011    1.48     0.596
1132 es11h [63]Ciudad Autónoma de Ceuta            2011    1.47     0.515
1133 es11h [64]Ciudad Autónoma de Melilla          2011    1.79     0.768
1134 es11h [70]Canarias                            2011    1.39     0.626
1135 es12h [11]Galicia                             2012    1.34     0.686
1136 es12h [12]Principado de Asturias              2012    1.92     0.677
1137 es12h [13]Cantabria                           2012    1.33     0.702
1138 es12h [21]País Vasco                          2012    1.72     0.651
1139 es12h [22]Comunidad Foral de Navarra          2012    1.68     0.799
1140 es12h [23]La Rioja                            2012    1.90     0.647
1141 es12h [24]Aragón                              2012    1.43     0.615
1142 es12h [30]Comunidad de Madrid                 2012    1.50     0.609
1143 es12h [41]Castilla y León                     2012    1.42     0.638
1144 es12h [42]Castilla-La Mancha                  2012    1.39     0.570
1145 es12h [43]Extremadura                         2012    1.48     0.574
1146 es12h [51]Cataluña                            2012    1.64     0.586
1147 es12h [52]Comunidad Valenciana                2012    1.80     0.648
1148 es12h [53]Illes Balears                       2012    1.30     0.668
1149 es12h [61]Andalucía                           2012    1.43     0.590
1150 es12h [62]Región de Murcia                    2012    1.68     0.646
1151 es12h [63]Ciudad Autónoma de Ceuta            2012    1.43     0.346
1152 es12h [64]Ciudad Autónoma de Melilla          2012    1.99     0.629
1153 es12h [70]Canarias                            2012    1.35     0.691
1154 es13h [11]Galicia                             2013    1.05     0.661
1155 es13h [12]Principado de Asturias              2013    1.81     0.693
1156 es13h [13]Cantabria                           2013    1.54     0.710
1157 es13h [21]País Vasco                          2013    1.61     0.659
1158 es13h [22]Comunidad Foral de Navarra          2013    2.06     0.702
1159 es13h [23]La Rioja                            2013    2.11     0.647
1160 es13h [24]Aragón                              2013    1.93     0.620
1161 es13h [30]Comunidad de Madrid                 2013    1.53     0.590
1162 es13h [41]Castilla y León                     2013    1.61     0.644
1163 es13h [42]Castilla-La Mancha                  2013    1.45     0.592
1164 es13h [43]Extremadura                         2013    1.12     0.588
1165 es13h [51]Cataluña                            2013    1.74     0.580
1166 es13h [52]Comunidad Valenciana                2013    1.91     0.603
1167 es13h [53]Illes Balears                       2013    1.57     0.737
1168 es13h [61]Andalucía                           2013    1.44     0.582
1169 es13h [62]Región de Murcia                    2013    1.56     0.578
1170 es13h [63]Ciudad Autónoma de Ceuta            2013    1.22     0.357
1171 es13h [64]Ciudad Autónoma de Melilla          2013    2.57     0.437
1172 es13h [70]Canarias                            2013    1.09     0.755
1173 es14h [11]Galicia                             2014    1.15     0.657
1174 es14h [12]Principado de Asturias              2014    2.14     0.703
1175 es14h [13]Cantabria                           2014    1.30     0.686
1176 es14h [21]País Vasco                          2014    1.73     0.689
1177 es14h [22]Comunidad Foral de Navarra          2014    1.66     0.742
1178 es14h [23]La Rioja                            2014    1.67     0.630
1179 es14h [24]Aragón                              2014    1.56     0.585
1180 es14h [30]Comunidad de Madrid                 2014    1.50     0.563
1181 es14h [41]Castilla y León                     2014    1.50     0.634
1182 es14h [42]Castilla-La Mancha                  2014    1.56     0.559
1183 es14h [43]Extremadura                         2014    0.881    0.561
1184 es14h [51]Cataluña                            2014    1.53     0.576
1185 es14h [52]Comunidad Valenciana                2014    1.80     0.641
1186 es14h [53]Illes Balears                       2014    1.54     0.709
1187 es14h [61]Andalucía                           2014    1.61     0.555
1188 es14h [62]Región de Murcia                    2014    1.78     0.604
1189 es14h [63]Ciudad Autónoma de Ceuta            2014    1.45     0.400
1190 es14h [64]Ciudad Autónoma de Melilla          2014    1.96     0.579
1191 es14h [70]Canarias                            2014    1.10     0.639
1192 es15h [11]Galicia                             2015    1.20     0.603
1193 es15h [12]Principado de Asturias              2015    1.63     0.639
1194 es15h [13]Cantabria                           2015    1.88     0.627
1195 es15h [21]País Vasco                          2015    1.75     0.655
1196 es15h [22]Comunidad Foral de Navarra          2015    1.75     0.671
1197 es15h [23]La Rioja                            2015    1.52     0.660
1198 es15h [24]Aragón                              2015    1.50     0.605
1199 es15h [30]Comunidad de Madrid                 2015    1.48     0.557
1200 es15h [41]Castilla y León                     2015    1.36     0.652
1201 es15h [42]Castilla-La Mancha                  2015    1.34     0.535
1202 es15h [43]Extremadura                         2015    1.47     0.537
1203 es15h [51]Cataluña                            2015    1.51     0.605
1204 es15h [52]Comunidad Valenciana                2015    1.57     0.662
1205 es15h [53]Illes Balears                       2015    1.41     0.736
1206 es15h [61]Andalucía                           2015    1.66     0.543
1207 es15h [62]Región de Murcia                    2015    1.59     0.570
1208 es15h [63]Ciudad Autónoma de Ceuta            2015    1.03     0.501
1209 es15h [64]Ciudad Autónoma de Melilla          2015    2.21     0.547
1210 es15h [70]Canarias                            2015    0.923    0.663
1211 es16h [11]Galicia                             2016    1.32     0.633
1212 es16h [12]Principado de Asturias              2016    1.81     0.600
1213 es16h [13]Cantabria                           2016    1.57     0.673
1214 es16h [21]País Vasco                          2016    1.56     0.637
1215 es16h [22]Comunidad Foral de Navarra          2016    1.62     0.673
1216 es16h [23]La Rioja                            2016    1.65     0.636
1217 es16h [24]Aragón                              2016    1.67     0.633
1218 es16h [30]Comunidad de Madrid                 2016    1.60     0.558
1219 es16h [41]Castilla y León                     2016    1.57     0.636
1220 es16h [42]Castilla-La Mancha                  2016    1.56     0.603
1221 es16h [43]Extremadura                         2016    1.64     0.534
1222 es16h [51]Cataluña                            2016    1.38     0.607
1223 es16h [52]Comunidad Valenciana                2016    1.55     0.614
1224 es16h [53]Illes Balears                       2016    1.77     0.597
1225 es16h [61]Andalucía                           2016    1.38     0.528
1226 es16h [62]Región de Murcia                    2016    1.80     0.572
1227 es16h [63]Ciudad Autónoma de Ceuta            2016    1.44     0.550
1228 es16h [64]Ciudad Autónoma de Melilla          2016    2.15     0.628
1229 es16h [70]Canarias                            2016    1.14     0.694
1230 es17h [11]Galicia                             2017    1.30     0.586
1231 es17h [12]Principado de Asturias              2017    1.42     0.623
1232 es17h [13]Cantabria                           2017    1.72     0.630
1233 es17h [21]País Vasco                          2017    1.90     0.629
1234 es17h [22]Comunidad Foral de Navarra          2017    1.50     0.699
1235 es17h [23]La Rioja                            2017    1.78     0.661
1236 es17h [24]Aragón                              2017    1.41     0.676
1237 es17h [30]Comunidad de Madrid                 2017    1.54     0.586
1238 es17h [41]Castilla y León                     2017    1.53     0.643
1239 es17h [42]Castilla-La Mancha                  2017    1.55     0.547
1240 es17h [43]Extremadura                         2017    1.29     0.560
1241 es17h [51]Cataluña                            2017    1.43     0.628
1242 es17h [52]Comunidad Valenciana                2017    1.72     0.606
1243 es17h [53]Illes Balears                       2017    1.38     0.643
1244 es17h [61]Andalucía                           2017    1.53     0.500
1245 es17h [62]Región de Murcia                    2017    1.91     0.564
1246 es17h [63]Ciudad Autónoma de Ceuta            2017    1.39     0.451
1247 es17h [64]Ciudad Autónoma de Melilla          2017    3.05     0.625
1248 es17h [70]Canarias                            2017    1.13     0.671
1249 es18h [11]Galicia                             2018    1.47     0.653
1250 es18h [12]Principado de Asturias              2018    2.19     0.563
1251 es18h [13]Cantabria                           2018    1.57     0.623
1252 es18h [21]País Vasco                          2018    1.72     0.650
1253 es18h [22]Comunidad Foral de Navarra          2018    1.57     0.633
1254 es18h [23]La Rioja                            2018    1.64     0.735
1255 es18h [24]Aragón                              2018    1.74     0.688
1256 es18h [30]Comunidad de Madrid                 2018    1.66     0.596
1257 es18h [41]Castilla y León                     2018    1.51     0.596
1258 es18h [42]Castilla-La Mancha                  2018    1.72     0.621
1259 es18h [43]Extremadura                         2018    1.47     0.621
1260 es18h [51]Cataluña                            2018    1.45     0.610
1261 es18h [52]Comunidad Valenciana                2018    1.65     0.626
1262 es18h [53]Illes Balears                       2018    1.44     0.736
1263 es18h [61]Andalucía                           2018    1.48     0.568
1264 es18h [62]Región de Murcia                    2018    1.48     0.690
1265 es18h [63]Ciudad Autónoma de Ceuta            2018    1.47     0.375
1266 es18h [64]Ciudad Autónoma de Melilla          2018    3.22     0.600
1267 es18h [70]Canarias                            2018    1.38     0.697
1268 es19h [11]Galicia                             2019    1.38     0.705
1269 es19h [12]Principado de Asturias              2019    1.86     0.642
1270 es19h [13]Cantabria                           2019    1.31     0.668
1271 es19h [21]País Vasco                          2019    1.68     0.703
1272 es19h [22]Comunidad Foral de Navarra          2019    2.01     0.573
1273 es19h [23]La Rioja                            2019    1.60     0.664
1274 es19h [24]Aragón                              2019    1.51     0.750
1275 es19h [30]Comunidad de Madrid                 2019    1.54     0.597
1276 es19h [41]Castilla y León                     2019    1.42     0.568
1277 es19h [42]Castilla-La Mancha                  2019    1.39     0.609
1278 es19h [43]Extremadura                         2019    1.48     0.678
1279 es19h [51]Cataluña                            2019    1.52     0.634
1280 es19h [52]Comunidad Valenciana                2019    1.66     0.618
1281 es19h [53]Illes Balears                       2019    1.31     0.814
1282 es19h [61]Andalucía                           2019    1.30     0.616
1283 es19h [62]Región de Murcia                    2019    1.29     0.720
1284 es19h [63]Ciudad Autónoma de Ceuta            2019    1.86     0.456
1285 es19h [64]Ciudad Autónoma de Melilla          2019    3.09     0.482
1286 es19h [70]Canarias                            2019    1.57     0.631
1287 es85h <NA>                                    1985   NA        0.461
1288 es90h [11]Galicia                             1990   NA        0.650
1289 es90h [12]Principado de Asturia               1990   NA        0.766
1290 es90h [13]Cantabria                           1990   NA        0.794
1291 es90h [21]Pais Vasco                          1990   NA        0.681
1292 es90h [22]Communidad Foral de Navarra         1990   NA        0.715
1293 es90h [23]La Rioja                            1990   NA        0.716
1294 es90h [24]Aragon                              1990   NA        0.588
1295 es90h [30]Communidad de Madrid                1990   NA        0.582
1296 es90h [41]Castilla y Leon                     1990   NA        0.540
1297 es90h [42]Castilla la Mancha                  1990   NA        0.558
1298 es90h [43]Extremadura                         1990   NA        0.495
1299 es90h [51]Cataluna                            1990   NA        0.611
1300 es90h [52]Comunidad Valenciana                1990   NA        0.639
1301 es90h [53]Illes Balears                       1990   NA        0.703
1302 es90h [61]Andalucia                           1990   NA        0.574
1303 es90h [62]Region de Murcia                    1990   NA        0.515
1304 es90h [65]Ciudad Autonoma de Ceuta y Melilla  1990   NA        0.459
1305 es90h [70]Canarias                            1990   NA        0.556
1306 es93h [1]North-East                           1993   NA       NA    
1307 es93h [2]North-West                           1993   NA       NA    
1308 es93h [3]Madrid                               1993   NA       NA    
1309 es93h [4]Central                              1993   NA       NA    
1310 es93h [5]East                                 1993   NA       NA    
1311 es93h [6]South                                1993   NA       NA    
1312 es93h [7]Canary Islands                       1993   NA       NA    
1313 es93h <NA>                                    1993    0.587    0.561
1314 es94h [1]North-East                           1994   NA       NA    
1315 es94h [2]North-West                           1994   NA       NA    
1316 es94h [3]Madrid                               1994   NA       NA    
1317 es94h [4]Central                              1994   NA       NA    
1318 es94h [5]East                                 1994   NA       NA    
1319 es94h [6]South                                1994   NA       NA    
1320 es94h [7]Canary Islands                       1994   NA       NA    
1321 es94h <NA>                                    1994    0.890    0.690
1322 es95h [1]North-East                           1995   NA       NA    
1323 es95h [2]North-West                           1995   NA       NA    
1324 es95h [3]Madrid                               1995   NA       NA    
1325 es95h [4]Central                              1995   NA       NA    
1326 es95h [5]East                                 1995   NA       NA    
1327 es95h [6]South                                1995   NA       NA    
1328 es95h [7]Canary Islands                       1995   NA       NA    
1329 es95h <NA>                                    1995    0.730    0.759
1330 es96h [1]North-East                           1996   NA       NA    
1331 es96h [2]North-West                           1996   NA       NA    
1332 es96h [3]Madrid                               1996   NA       NA    
1333 es96h [4]Central                              1996   NA       NA    
1334 es96h [5]East                                 1996   NA       NA    
1335 es96h [6]South                                1996   NA       NA    
1336 es96h [7]Canary Islands                       1996   NA       NA    
1337 es96h <NA>                                    1996   NA       NA    
1338 es97h [1]North-East                           1997   NA       NA    
1339 es97h [2]North-West                           1997   NA       NA    
1340 es97h [3]Madrid                               1997   NA       NA    
1341 es97h [4]Central                              1997   NA       NA    
